Model,Tile_N,Tile_K,Latency
llama2_quant,1024,256,0.06480301276595778
llama2_quant,2048,2048,0.06841171914893651
llama2_quant,2048,512,0.07094581276595778
llama2_quant,2048,1024,0.07009304680851097
llama2_quant,2048,256,0.07139640000000033
llama2_quant,1024,128,0.06475725957446841
llama2_quant,2048,128,0.07125176170212799
llama2_quant,4096,64,0.09815300425531949
llama2_quant,2048,64,0.07127137021276629
llama2_quant,4096,128,0.09823718297872373
llama2_quant,4096,1024,0.09519674042553225
llama2_quant,4096,512,0.09688603404255353
llama2_quant,4096,256,0.09775473191489395
llama2_quant,2048,32,0.07141516595744714
llama2_quant,4096,32,0.09829680000000032
llama2_quant,1024,64,0.06492638297872375
llama2_quant,4096,16,0.12475521702127693
llama2_quant,2048,16,0.06416982127659608
llama2_quant,1024,32,0.08514765957446842
llama2_quant,256,32,0.08532362553191522
llama2_quant,1024,16,0.06415511489361736
llama2_quant,512,16,0.06439531914893651
llama2_quant,256,16,0.06440951489361735
llama2_quant,16,256,0.08001538723404289
llama2_quant,32,128,0.07004777872340459
llama2_quant,64,64,0.07510626382978756
llama2_quant,128,32,0.08538480000000033
gemma_2_2b_quant,16,32,0.02325674202134977
gemma_2_2b_quant,32,16,0.020741159042626363
llama2_quant,128,16,0.06465748085106417
llama2_quant,16,128,0.08570435744680885
llama2_quant,32,64,0.0756469531914897
llama2_quant,64,32,0.08572805106383012
llama2_quant,64,16,0.06531467234042587
llama2_quant,16,64,0.05712015319148969
gemma_2_2b_quant,16,16,0.03391069946815828
llama2_quant,32,32,0.08691837446808544
